"Course","LessonId","SectionType","SectionTitle","ContentLength","Content"
"csharp","lesson-01-02","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-01-03","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-01-04","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-01-05","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-02-01","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-02-02","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-02-03","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-02-04","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-02-05","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-02-06","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-03-01","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-03-02","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-03-03","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-03-04","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-03-05","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-04-01","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-04-02","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-04-03","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-04-04","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-04-05","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-05-01","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-05-02","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-05-03","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-05-04","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-05-05","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-06-01","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-06-02","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-06-03","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-06-04","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-06-05","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-06-06","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-06-07","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-07-01","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-07-02","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-07-03","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-07-04","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-07-05","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-07-06","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-07-07","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-08-01","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-08-02","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-08-03","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-08-04","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
"csharp","lesson-08-05","EXAMPLE","Code Example","49","This example demonstrates the concepts in action."
